DistVDC	No.
Sankhuwasabha-KHADBARI MUNICIPALITY	3,188.0
Sankhuwasabha-KHARANG	98.0
Sankhuwasabha-MADIMULKHARKA	94.0
Sankhuwasabha-MADIRAMBENI	96.0
Sankhuwasabha-MAKALU	59.0
Sankhuwasabha-MAMLING	70.0
Sankhuwasabha-MANGTEWA	43.0
Sankhuwasabha-MATSYAPOKHARI	67.0
Sankhuwasabha-MAWADIN	53.0
Sankhuwasabha-NUM	53.0
Sankhuwasabha-NUNDHAKI	48.0
Sankhuwasabha-PATHIBHARA	57.0
Sankhuwasabha-PAWAKHOLA	43.0
Sankhuwasabha-SABHAPOKHARI	30.0
Sankhuwasabha-SIDDHAKALI	74.0
Sankhuwasabha-SIDDHAPOKHARI	52.0
Sankhuwasabha-SISUWAKHOLA	54.0
Sankhuwasabha-SITALPATI	83.0
Sankhuwasabha-SYABUN	72.0
Sankhuwasabha-TAMAFOK	132.0
Sankhuwasabha-TAMKU	53.0
Sankhuwasabha-YAFU	51.0
Saptari-ARNAHA	53.0
Saptari-AURAHI	64.0
Saptari-BADGAMA	52.0
Saptari-BAIRAWA	56.0
Saptari-BAKDHAUWA	94.0
Saptari-BAMANGAMAKATTI	75.0
Saptari-BANAINIYA	54.0
Saptari-BANARJHULA	58.0
Saptari-BANAULA	55.0
Saptari-BANAULI	76.0
Saptari-BARAMJHIYA	61.0
Saptari-BARSAIN (KO.)	75.0
Saptari-BASBALPUR	37.0
Saptari-BASBITI	52.0
Saptari-BATHANAHA	78.0
Saptari-BELHI	34.0
Saptari-BELHICHAPENA	64.0
Saptari-BHAGAWATPUR	100.0
Saptari-BHANGAHA	66.0
Saptari-BHARDAHA	96.0
Saptari-BHUTAHI	61.0
Saptari-BIRPURBARAHI	77.0
Saptari-BISHAHARIYA	77.0
Saptari-BODEBARSAIEN	52.0
Saptari-BORIYA	29.0
Saptari-BRAHMAPUR	72.0
Saptari-CHHINNAMASTA	108.0
Saptari-DADHA	88.0
Saptari-DAULATPUR	71.0
Saptari-DEURI	77.0
Saptari-DEURIMARUWA	31.0
Saptari-DHANAGADI	95.0
Saptari-DHARAMPUR	86.0
Saptari-DHODHANPUR	71.0
Saptari-DIDHAWA	50.0
Saptari-DIMAN	54.0
Saptari-FAKIRA	74.0
Saptari-FARSETH	42.0
Saptari-FATEPUR	153.0
Saptari-FULKAHI	75.0
Saptari-GAMHARIYAPARWAHA	87.0
Saptari-GOBARGADA	20.0
Saptari-GOITHI	61.0
Saptari-HANUMAN NAGAR	85.0
Saptari-HARDIYA	68.0
Saptari-HARIHARPUR	56.0
Saptari-HARIPUR	60.0
Saptari-INARWA	32.0
Saptari-INARWA FULPARIYA	73.0
Saptari-ITAHARI BISHNUPUR	59.0
Saptari-JAGATPUR	61.0
Saptari-JAMUNI MADHEPURA	60.0
Saptari-JANDAUL	62.0
Saptari-JHUTAKI	55.0
Saptari-JOGINIYA-1	50.0
Saptari-JOGINIYA-2	65.0
Saptari-KABILASH	64.0
Saptari-KACHAN	40.0
Saptari-KALYANPUR	75.0
Saptari-KAMALPUR	76.0
Saptari-KANCHANPUR	85.0
Saptari-KATAIYA	88.0
Saptari-KHADGAPUR	46.0
Saptari-KHOJPUR	68.0
Saptari-KHOKSARPARBAHA	51.0
Saptari-KO.MADHEPURA	47.0
Saptari-KOCHABAKHARI	94.0
Saptari-KOILADI	117.0
Saptari-KUSHAHA	88.0
Saptari-LALAPATI	53.0
Saptari-LAUNIYA	51.0
Saptari-LOHAJARA	70.0
Saptari-MADHAWAPUR	75.0
Saptari-MADHUPATI	53.0
Saptari-MAHADEVA	88.0
Saptari-MAINA SAHASRABAHU	33.0
Saptari-MAINAKADERI	68.0
Saptari-MALEKPUR	90.0
Saptari-MALETH	83.0
Saptari-MALHANAMA	72.0
Saptari-MALHANIYA	119.0
Saptari-MANRAJA	64.0
Saptari-MAUWAHA	58.0
Saptari-MOHANPUR	81.0
Saptari-NARDHO	89.0
Saptari-NEGADA	67.0
Saptari-ODRAHA	78.0
Saptari-PAKARI	70.0
Saptari-PANSERA	74.0
Saptari-PATERWA	66.0
Saptari-PATO	76.0
Saptari-PATTHARGADA	51.0
Saptari-PIPRA (EAST)	51.0
Saptari-PIPRA (WEST)	64.0
Saptari-PORTAHA	70.0
Saptari-PRASABANI	81.0
Saptari-RAJBIRAJ MUNICIPALITY	2,464.0
Saptari-RAMNAGAR	41.0
Saptari-RAMPUR JAMUWA	52.0
Saptari-RAMPUR MALHANIYA	82.0
Saptari-RAUTAHAT	43.0
Saptari-RAYAPUR	122.0
Saptari-RUPNAGAR	77.0
Saptari-SAMBHUNATH	84.0
Saptari-SANKARPURA	54.0
Saptari-SARASWOR	78.0
Saptari-SIMRAHASIGIYOUN	38.0
Saptari-SISWABEIHI	108.0
Saptari-SITAPUR	71.0
Saptari-TARAHI	41.0
Saptari-TERAHOTA	49.0
Saptari-THELIYA	93.0
Saptari-TIKULIYA	39.0
Saptari-TILATHI	74.0
Saptari-TRIKOLA	64.0
Sarlahi-ACHALGADH	40.0
Sarlahi-ARNAHA	48.0
Sarlahi-ATROULI	112.0
Sarlahi-AURAHI	86.0
Sarlahi-BABARGANJ	135.0
Sarlahi-BAGDAHA	71.0
Sarlahi-BAHADURPUR	16.0
Sarlahi-BALARA	111.0
Sarlahi-BARAHATHAWA	173.0
Sarlahi-BARAUDHORAN	90.0
Sarlahi-BASANTAPUR	100.0
Sarlahi-BATRAUL	64.0
Sarlahi-BELA	73.0
Sarlahi-BELHI	31.0
Sarlahi-BELWAJABDI	88.0
Sarlahi-BHADSAR	53.0
Sarlahi-BHAGAWATIPUR	82.0
Sarlahi-BHAKTIPUR	127.0
Sarlahi-BHAWANIPUR	34.0
Sarlahi-BRAHMAPURI	114.0
Sarlahi-CHANDRANAGAR	105.0
Sarlahi-CHHATAUL	98.0
Sarlahi-CHHATONA	37.0
Sarlahi-DHANAKAULPACHHIYATI	35.0
Sarlahi-DHANAKAULPURBA	103.0
Sarlahi-DHANGADA	53.0
Sarlahi-DHUNGREKHOLA	159.0
Sarlahi-DHURKAULI	102.0
Sarlahi-DUMARIYA	48.0
Sarlahi-FARAHADAWA	78.0
Sarlahi-FULPARASI	37.0
Sarlahi-GADAHIYABAIRI	72.0
Sarlahi-GAMHARIYA	69.0
Sarlahi-GODETA	85.0
Sarlahi-GOURISHANKAR	135.0
Sarlahi-HAJARIYA	237.0
Sarlahi-HARAKTHAWA	63.0
Sarlahi-HARIPUR	151.0
Sarlahi-HARIPURWA	194.0
Sarlahi-HARIYON	234.0
Sarlahi-HATHIYOL	124.0
Sarlahi-HEMPUR	61.0
Sarlahi-ISHWORPUR	197.0
Sarlahi-JABDI	113.0
Sarlahi-JAMUNIYA	92.0
Sarlahi-JANAKINAGAR	127.0
Sarlahi-JINGADAWA	41.0
Sarlahi-KABILASI	151.0
Sarlahi-KALINJOR	75.0
Sarlahi-KARMAIYA	105.0
Sarlahi-KHIRWA	122.0
Sarlahi-KHORIYA	57.0
Sarlahi-KHUTAUNA	62.0
Sarlahi-KISANPUR	50.0
Sarlahi-KODENA	105.0
Sarlahi-LALBANDI	154.0
Sarlahi-LAUKATH	91.0
Sarlahi-LAXMIPUR KODRAHA	101.0
Sarlahi-LAXMIPURSU	79.0
Sarlahi-MADHUBANGOTH	67.0
Sarlahi-MADHUBANI	49.0
Sarlahi-MAHINATHPUR	51.0
Sarlahi-MAILHI	60.0
Sarlahi-MALANGAWA MUNICIPALITY	2,004.0
Sarlahi-MANPUR	104.0
Sarlahi-MIRJAPUR	54.0
Sarlahi-MOHANPUR	48.0
Sarlahi-MOTIPUR	42.0
Sarlahi-MURTIYA	113.0
Sarlahi-MUSAULI	45.0
Sarlahi-NARAYANKHOLA	64.0
Sarlahi-NARAYANPUR	46.0
Sarlahi-NETRAGANJ	92.0
Sarlahi-NOUKAILAWA	166.0
Sarlahi-PARSA	58.0
Sarlahi-PARWANIPUR	121.0
Sarlahi-PATTHARKOT	96.0
Sarlahi-PIDARI	58.0
Sarlahi-PIDARIYA	64.0
Sarlahi-PIPARIYA	72.0
Sarlahi-RAJGHAT	131.0
Sarlahi-RAMBAN	61.0
Sarlahi-RAMNAGARBAHAUR	108.0
Sarlahi-RANIGANJ	90.0
Sarlahi-ROHUWA	36.0
Sarlahi-SAKRAUL	33.0
Sarlahi-SALEMPUR	85.0
Sarlahi-SANGRAMPUR	75.0
Sarlahi-SANKARPUR	86.0
Sarlahi-SASAPUR	74.0
Sarlahi-SHREEPUR	60.0
Sarlahi-SIKHAUNA	61.0
Sarlahi-SIMARA	98.0
Sarlahi-SISOTIYA	116.0
Sarlahi-SISOUT	60.0
Sarlahi-SOHADAWA	53.0
Sarlahi-SUDAMA	51.0
Sarlahi-SUNDARPUR	87.0
Sarlahi-SUNDARPUR CHULDAWA	138.0
Sarlahi-TRIBHUWANNAGAR	36.0
Sindhuli-AMALE	27.0
Sindhuli-ARUNTHAKUR	57.0
Sindhuli-BAHUNTILPUNG	53.0
Sindhuli-BALAJOR	56.0
Sindhuli-BASESHWOR	60.0
Sindhuli-BASTIPUR	40.0
Sindhuli-BELGHARI	59.0
Sindhuli-BHADRAKALI	65.0
Sindhuli-BHIMESHWOR	41.0
Sindhuli-BHIMSTHAN	88.0
Sindhuli-BHUWANESHORIGWALTAR	23.0
Sindhuli-BITIJORBAGAIYA	25.0
Sindhuli-DADIGURANSHE	82.0
Sindhuli-DUDBHANJYANG	40.0
Sindhuli-DUDHOULI	123.0
Sindhuli-HARIHARPUR GADHI	57.0
Sindhuli-HARSAHI	73.0
Sindhuli-HATPATE	113.0
Sindhuli-JALKANYA	33.0
Sindhuli-JARAYOTAR	87.0
Sindhuli-JHANGAJHOLIRALMATA	95.0
Sindhuli-JINAKHU	31.0
Sindhuli-KAKURTHAKUR	76.0
Sindhuli-KALPABRISHYKHA	110.0
Sindhuli-KAMALAMAI MUNICIPALITY	3,667.0
Sindhuli-KAPILAKOT	105.0
Sindhuli-KHANGSANG	50.0
Sindhuli-KHOLAGAUN	49.0
Sindhuli-KUSESWORDUMJA	69.0
Sindhuli-KYANESHWOR	123.0
Sindhuli-LADABHIR (MAHENDRA)	116.0
Sindhuli-LAMPANTAR	78.0
Sindhuli-MAHADEVDADA	58.0
Sindhuli-MAHADEVSTHAN	81.0
Sindhuli-MAHENDRAJHAYADI	73.0
Sindhuli-MAJHUWA	47.0
Sindhuli-NETRAKALI	35.0
Sindhuli-NIPANE	41.0
Sindhuli-PIPALMADI	72.0
Sindhuli-PURANO JHANGAJHOLI	92.0
Sindhuli-RANIBAS	99.0
Sindhuli-RANICHURI	115.0
Sindhuli-RATANCHURA	44.0
Sindhuli-RATNAWATI	38.0
Sindhuli-SANTESWORI (RAMPUR)	38.0
Sindhuli-SIRTHOULI	114.0
Sindhuli-SITALPATI	68.0
Sindhuli-SOLPATHANA	37.0
Sindhuli-SUNAMPOKHARI	25.0
Sindhuli-TAMAJOR	40.0
Sindhuli-TANDI	126.0
Sindhuli-TINKANYA	56.0
Sindhuli-TOSRAMKHOLA	31.0
Sindhuli-TRIBHUVANAMBOTE	59.0
Sindhupalchok-ATARPUR	33.0
Sindhupalchok-BADEGAU	86.0
Sindhupalchok-BANSBARI	68.0
Sindhupalchok-BANSKHARKA	53.0
Sindhupalchok-BARAMCHI	61.0
Sindhupalchok-BARHABISE	131.0
Sindhupalchok-BARUWA	37.0
Sindhupalchok-BATASE	102.0
Sindhupalchok-BHIMTAR	68.0
Sindhupalchok-BHOTASIPA	78.0
Sindhupalchok-BHOTECHAUR	97.0
Sindhupalchok-BHOTENAMLANG	68.0
Sindhupalchok-CHOUKATI	59.0
Sindhupalchok-CHOUTARA	103.0
Sindhupalchok-DHUMTHANG	77.0
Sindhupalchok-DUBACHOUR	117.0
Sindhupalchok-FATAKSHILA	62.0
Sindhupalchok-FULPINGDANDAGAU	91.0
Sindhupalchok-FULPINGKATTI	64.0
Sindhupalchok-FULPINGKOT	78.0
Sindhupalchok-GATI	64.0
Sindhupalchok-GHORTHALI	35.0
Sindhupalchok-GHUSKUN	75.0
Sindhupalchok-GLOCHE	44.0
Sindhupalchok-GUMBA	49.0
Sindhupalchok-GUNSAKOT	48.0
Sindhupalchok-HAGAM	77.0
Sindhupalchok-HAIBUNG	53.0
Sindhupalchok-HELUMBU	57.0
Sindhupalchok-ICHOK	109.0
Sindhupalchok-IRKHU	45.0
Sindhupalchok-JALBIRE	52.0
Sindhupalchok-JETHAL	55.0
Sindhupalchok-JYAMIRE	91.0
Sindhupalchok-KADAMBAS	59.0
Sindhupalchok-KARTHALI	76.0
Sindhupalchok-KIWOOL	62.0
Sindhupalchok-KUBHINDE	59.0
Sindhupalchok-KUNCHOK	74.0
Sindhupalchok-LANGARCHE	49.0
Sindhupalchok-LISANKHU	7.0
Sindhupalchok-LISTIKOT	77.0
Sindhupalchok-MAHANKAL	95.0
Sindhupalchok-MANESWOR	77.0
Sindhupalchok-MANKHA	137.0
Sindhupalchok-MARMING	63.0
Sindhupalchok-MELAMCHI	85.0
Sindhupalchok-MOTANG	58.0
Sindhupalchok-NAWALPUR	64.0
Sindhupalchok-PAGRETAR	42.0
Sindhupalchok-PALCHOK	43.0
Sindhupalchok-PANGTANG	39.0
Sindhupalchok-PETAKU	34.0
Sindhupalchok-PIPALDANDA	65.0
Sindhupalchok-PISKAR	49.0
Sindhupalchok-RAMCHE	71.0
Sindhupalchok-SANGACHOK	161.0
Sindhupalchok-SANUSIRUWARI	61.0
Sindhupalchok-SELANG	44.0
Sindhupalchok-SIKHARPUR	44.0
Sindhupalchok-SINDHUKOT	52.0
Sindhupalchok-SIPALKAVRE	51.0
Sindhupalchok-SIPAPOKHARE	71.0
Sindhupalchok-SUNKHANI	50.0
Sindhupalchok-SYAULEBAZAR	68.0
Sindhupalchok-TALRAMARANG	41.0
Sindhupalchok-TATOPANI	87.0
Sindhupalchok-TAUTHALI	81.0
Sindhupalchok-TEKANPUR	41.0
Sindhupalchok-THAKANI	49.0
Sindhupalchok-THAMPALCHHAP	73.0
Sindhupalchok-THANPALKOT	56.0
Sindhupalchok-THULODHADING	45.0
Sindhupalchok-THULOPAKHAR	60.0
Sindhupalchok-THULOSIRUBARI	93.0
Sindhupalchok-THUMPAKHAR	80.0
Sindhupalchok-YAMUNADANDA	33.0
Siraha-ARNAMALALPUR	119.0
Siraha-ARNAMARAMPUR	44.0
Siraha-ASANPUR	80.0
Siraha-ASHOKPURBALKAWA	50.0
Siraha-AURAHI	56.0
Siraha-AYODHYANAGAR	76.0
Siraha-BADHARAMAL	202.0
Siraha-BARCHHAWA	51.0
Siraha-BARIYARPATTI	56.0
Siraha-BASTIPUR	93.0
Siraha-BELAHA	77.0
Siraha-BELHI	65.0
Siraha-BETAUNA	75.0
Siraha-BHADAIYA	66.0
Siraha-BHAGANPUR	21.0
Siraha-BHAGAWATIPUR	71.0
Siraha-BHAWANIPUR	74.0
Siraha-BHAWANPUR KALABANZAR	55.0
Siraha-BHOKRAHA	31.0
Siraha-BISHNU PURKATTI	128.0
Siraha-BISHNUPURPRA.MA.	73.0
Siraha-BISHNUPURPRA.RA	65.0
Siraha-BRAHMA GAUGHADI	52.0
Siraha-CHANDRA AYODHYAPUR	52.0
Siraha-CHANDRA LALPUR	50.0
Siraha-CHANDRODAYAPUR	68.0
Siraha-CHATARI	35.0
Siraha-CHIKANA	57.0
Siraha-DEVIPUR	42.0
Siraha-DHANGADI	135.0
Siraha-DHODHANA	69.0
Siraha-DUMARI	56.0
Siraha-DURGAPUR	72.0
Siraha-FULBARIYA	103.0
Siraha-FULKAHAKATI	100.0
Siraha-GADHA	54.0
Siraha-GAURIPUR	36.0
Siraha-GAUTARI	35.0
Siraha-GOVINDAPUR MALAHANAMA	102.0
Siraha-GOVINDPUR TAREGANA	85.0
Siraha-HAKPARA	49.0
Siraha-HANUMANNAGAR	4.0
Siraha-HANUMANNAGAR (PRA.DHA.)	4.0
Siraha-HARAKATTI	35.0
Siraha-INARWA	128.0
Siraha-ITARHAWA	30.0
Siraha-ITARIPARSAHI	75.0
Siraha-ITATAR	46.0
Siraha-JAMADAHA	64.0
Siraha-JANAKINAGAR	44.0
Siraha-JIGHAUL	56.0
Siraha-KABILASI	61.0
Siraha-KACHANARI	56.0
Siraha-KALYANPUR JABADI	129.0
Siraha-KALYANPUR KALABANZAR	42.0
Siraha-KARJANHA	28.0
Siraha-KHARUKYANHI	50.0
Siraha-KHIRAUNA	48.0
Siraha-KRISHNAPUR BIRTA	48.0
Siraha-KUSHAHALAXININIYA	48.0
Siraha-LAGADIGADIYANI	64.0
Siraha-LAGADIGODH	46.0
Siraha-LAHAN MUNICIPALITY	2,364.0
Siraha-LALPUR	53.0
Siraha-LAXMINIYA	67.0
Siraha-LAXMIPUR (PRA.MA.)	43.0
Siraha-LAXMIPURPATARI	39.0
Siraha-MADAR	115.0
Siraha-MAHADEWAPORTAHA	58.0
Siraha-MAHANAUR	86.0
Siraha-MAHESHPUR GAMHARIA	54.0
Siraha-MAHESHPUR PATARI	52.0
Siraha-MAJHAULIYA	72.0
Siraha-MAJHAURA	56.0
Siraha-MALHANIYA GAMHARIA	44.0
Siraha-MALHANIYAKHORI	66.0
Siraha-MAUWAHI	43.0
Siraha-MEDIA	56.0
Siraha-MOHANPUR KAMALPUR	86.0
Siraha-MUKSAR	42.0
Siraha-NAHARARIGOUL	61.0
Siraha-NARAHABALKAWA	56.0
Siraha-NAVARAJPUR	91.0
Siraha-PADARIYATHARUTOL	84.0
Siraha-PIPRAPRA.DHA	54.0
Siraha-PIPRAPRA.PI	74.0
Siraha-POKHARBHINDA	65.0
Siraha-RADHOPUR	50.0
Siraha-RAJPUR	69.0
Siraha-RAMNAGAR MIRCHAIYA	131.0
Siraha-RAMPURBIRTA	54.0
Siraha-SAKHUWA NANKARKATTI	45.0
Siraha-SANHAITHA	49.0
Siraha-SARSWAR	82.0
Siraha-SIKRON	44.0
Siraha-SILORBA PACHHAWARI	54.0
Siraha-SIRAHA MUNICIPALITY	987.0
Siraha-SISAWANI	78.0
Siraha-SITAPURPRA.DA.	52.0
Siraha-SITAPURPRA.RA.	66.0
Siraha-SONMATI MAJHAURA	50.0
Siraha-SOTHIYAN	43.0
Siraha-SUKHACHINA	25.0
Siraha-SUKHIPUR	140.0
Siraha-TENUWAPATTI	53.0
Siraha-THALAHAKATAHA	60.0
Siraha-TULSIPUR	50.0
Siraha-VIDHYANAGAR	58.0
Solukhumbu-BAKU	91.0
Solukhumbu-BASA	44.0
Solukhumbu-BENI	31.0
Solukhumbu-BHAKANJE	24.0
Solukhumbu-BUNG	93.0
Solukhumbu-CHAULA KHARKA	48.0
Solukhumbu-CHAURI KHARKA	68.0
Solukhumbu-CHHESKAM	71.0
Solukhumbu-DEUSA	76.0
Solukhumbu-GARMA	49.0
Solukhumbu-GOLI	23.0
Solukhumbu-GORAKHANI	30.0
Solukhumbu-GUDEL	82.0
Solukhumbu-JUBING	63.0
Solukhumbu-JUBU	74.0
Solukhumbu-KAKU	71.0
Solukhumbu-KANGEL	49.0
Solukhumbu-KHUMJUNG	41.0
Solukhumbu-KURENG	61.0
Solukhumbu-LODINGTAMAKHANI	17.0
Solukhumbu-LOKHIM	71.0
Solukhumbu-MABE (PAWAI)	41.0
Solukhumbu-MUKALI	50.0
Solukhumbu-NAMCHE	30.0
Solukhumbu-NECHABATASE	72.0
Solukhumbu-NECHABEDGHARI	56.0
Solukhumbu-NELE	40.0
Solukhumbu-PANCHAN	28.0
Solukhumbu-SALLERI	114.0
Solukhumbu-SALYAN	86.0
Solukhumbu-SOTANG	93.0
Solukhumbu-TAKASINDU	40.0
Solukhumbu-TAPTING	47.0
Solukhumbu-TINGLA	80.0
Sunsari-AEKAMBA	115.0
Sunsari-AMADUWA	119.0
Sunsari-AMAHIBELAHA	88.0
Sunsari-AURABARNI	139.0
Sunsari-BABIYA	105.0
Sunsari-BARAHACHHETRA	223.0
Sunsari-BHADGAUSINAWARI	144.0
Sunsari-BHALUWA	67.0
Sunsari-BHARAUL	188.0
Sunsari-BHOKRAHA	1.0
Sunsari-BISHNUPADUKA	65.0
Sunsari-CHADWELA	114.0
Sunsari-CHHITAHA	151.0
Sunsari-CHIMDI	118.0
Sunsari-DEWANGANJ	87.0
Sunsari-DHARAN MUNICIPALITY	830.0
Sunsari-DHUSKEE	119.0
Sunsari-DUHABI	234.0
Sunsari-DUMARAHA	245.0
Sunsari-GAUTAMPUR	56.0
Sunsari-HANSHPOSHA	380.0
Sunsari-HARINAGAR	74.0
Sunsari-HARIPUR	100.0
Sunsari-INARUWA MUNICIPALITY	2,829.0
Sunsari-ITAHARI MUNICIPALITY	3,752.0
Sunsari-JALPAPUR	95.0
Sunsari-KAPTANGANJ	132.0
Sunsari-KHANAR	261.0
Sunsari-LAUKAHI	81.0
Sunsari-MADHESA	71.0
Sunsari-MADHUWAN	114.0
Sunsari-MADHYEHARSAHI	68.0
Sunsari-MAHENDRANAGAR	327.0
Sunsari-NARSHINHATAPPU	161.0
Sunsari-PAKALI	175.0
Sunsari-PANCHAKANYA	78.0
Sunsari-PASCHIMKASUHA	134.0
Sunsari-PRAKASHPUR	234.0
Sunsari-PURBAKUSHAHA	94.0
Sunsari-RAMGANJBELGACHHI	105.0
Sunsari-RAMGANJSENUWARI	104.0
Sunsari-RAMNAGARBHUTAHA	122.0
Sunsari-SAHEBGANJ	61.0
Sunsari-SIMARIYA	96.0
Sunsari-SINGIYA	182.0
Sunsari-SONAPUR	63.0
Sunsari-SRIPURJABDI	152.0
Sunsari-TANAMUNA	89.0
Surkhet-AGRAGAUN	23.0
Surkhet-BABIYACHAUR	103.0
Surkhet-BAJEDICHAUR	53.0
Surkhet-BETAN	45.0
Surkhet-BIDYAPUR	93.0
Surkhet-BIJAURA	67.0
Surkhet-BIRENDRA NAGAR MUNICIPALITY	2,928.0
Surkhet-CHAPRE	22.0
Surkhet-CHHINCHU	126.0
Surkhet-DAHACHAUR	32.0
Surkhet-DASARATHPUR	70.0
Surkhet-DHARAPANI	52.0
Surkhet-GADIBAYALKADA	51.0
Surkhet-GARPAN	40.0
Surkhet-GHATGAUN	77.0
Surkhet-GHORETA	39.0
Surkhet-GHUMKHAHARE	52.0
Surkhet-GUMI	76.0
Surkhet-GUTHU	94.0
Surkhet-HARIHARPUR	72.0
Surkhet-JARBUTA	58.0
Surkhet-KAFALKOT	42.0
Surkhet-KALYAN	59.0
Surkhet-KAPRICHAUR	6.0
Surkhet-KHANIKHOLLA	20.0
Surkhet-KUNATHARI	101.0
Surkhet-LAGAAM	57.0
Surkhet-LATIKOILI	157.0
Surkhet-LEKHFARSA	104.0
Surkhet-LEKHGAUN	72.0
Surkhet-LEKHPARAJUL	100.0
Surkhet-MAINTADA	155.0
Surkhet-MALARANI	51.0
Surkhet-MEHELKUNA	141.0
Surkhet-NETA	42.0
Surkhet-PAMKA	25.0
Surkhet-POKHARIKANDA	68.0
Surkhet-RAJENA	24.0
Surkhet-RAKAM	38.0
Surkhet-RAMGHAT	105.0
Surkhet-RATU	23.0
Surkhet-SAHARE	138.0
Surkhet-SALKOT	114.0
Surkhet-SATAKHANI	130.0
Surkhet-TARANGA	91.0
Surkhet-TATOPANI	58.0
Surkhet-UTTARGANGA	206.0
Syangja-ALAMADEVI	82.0
Syangja-ARJUNCHAUPARI	134.0
Syangja-ARUCHAUR	71.0
Syangja-ARUKHARKA	64.0
Syangja-BAGEFATAKE	28.0
Syangja-BAHAKOT	47.0
Syangja-BENETHOKDEURALI	82.0
Syangja-BHATKHOLA	57.0
Syangja-BICHARI CHAUTARA	49.0
Syangja-BIRGHA ARCHALE	92.0
Syangja-BIRUWA ARCHALE	60.0
Syangja-CHANDI BHANJYANG	80.0
Syangja-CHAPAKOT	89.0
Syangja-CHHANGCHHANGDI	68.0
Syangja-CHILAUNEBAS	65.0
Syangja-CHINNEBAS	84.0
Syangja-CHISAPANI (MAGYAM)	90.0
Syangja-CHITRE BHANJYANG	71.0
Syangja-DARSING DAHATHUM	121.0
Syangja-DHAPUK SIMAL BHANJYANG	83.0
Syangja-FAPARTHUM	61.0
Syangja-FEDIKHOLA	153.0
Syangja-JAGAT BHANJYANG	68.0
Syangja-JAGATRADEVI	132.0
Syangja-KALIKAKOT	81.0
Syangja-KAULMA BARAHACHAUR	51.0
Syangja-KEWARE BHANJYANG	60.0
Syangja-KHILUNG DEURALI	93.0
Syangja-KICHNAS	121.0
Syangja-KUWAKOT	68.0
Syangja-KYAKMI	105.0
Syangja-MAJHAKOT SIVALAYA	33.0
Syangja-MALUNGA	66.0
Syangja-MALYANGKOT	83.0
Syangja-MANAKAMANA	106.0
Syangja-NIBUWA KHARKA	71.0
Syangja-ORASTE	71.0
Syangja-PAKWADI	109.0
Syangja-PANCHAMUL	101.0
Syangja-PAUWEGAUDE	76.0
Syangja-PELAKOT	115.0
Syangja-PELKACHAUR	45.0
Syangja-PIDIKHOLA	118.0
Syangja-PUTALIBAZAR MUNICIPALITY	3,542.0
Syangja-RANGVANG	75.0
Syangja-RAPAKOT	81.0
Syangja-RATNAPUR	61.0
Syangja-SAKHAR	100.0
Syangja-SATAUDARAU	56.0
Syangja-SEKHAM	83.0
Syangja-SETIDOBHAN	79.0
Syangja-SHREEKRISHNAGANDAKI	244.0
Syangja-SIRSEKOT	71.0
Syangja-SWOREK	106.0
Syangja-TAKSAR	52.0
Syangja-THULADIHI	84.0
Syangja-THUMPOKHARA	123.0
Syangja-TINDOBATE	91.0
Syangja-TULSI BHANJYANG	72.0
Syangja-WALING MUNICIPALITY	2,827.0
Syangja-WANGSING DEURALI	65.0
Syangja-YALADI	42.0
Tanahu-ANBUKHAIRENI	212.0
Tanahu-ARUNODAYA	91.0
Tanahu-BAIDI	47.0
Tanahu-BANDIPUR	207.0
Tanahu-BARBHANJYANG	119.0
Tanahu-BASANTAPUR	62.0
Tanahu-BHANU	247.0
Tanahu-BHANUMATI	76.0
Tanahu-BHIMAD	62.0
Tanahu-BHIRKOT	66.0
Tanahu-BYAS MUNICIPALITY	4,346.0
Tanahu-CHHANG	126.0
Tanahu-CHHIMKESHWORI	25.0
Tanahu-CHHIPCHHIPE	23.0
Tanahu-CHOKCHISAPANI	94.0
Tanahu-DEURALI	30.0
Tanahu-DEVGHAT	114.0
Tanahu-DHARAMPANI	68.0
Tanahu-DHORFIRDI	202.0
Tanahu-DULEGAUNDA	191.0
Tanahu-FIRFIRE	74.0
Tanahu-GAJARKOT	92.0
Tanahu-GHANSIKUWA	152.0
Tanahu-JAMUNE BHANJYANG	157.0
Tanahu-KAHUSHIVAPUR	87.0
Tanahu-KESHAVTAR	104.0
Tanahu-KHAIRENITAR	152.0
Tanahu-KIHUN	73.0
Tanahu-KOTA	24.0
Tanahu-KOTDARBAR	67.0
Tanahu-KYAMIN	114.0
Tanahu-MAJHAKOT	95.0
Tanahu-MANPANG	121.0
Tanahu-POKHARI BHANJYANG	64.0
Tanahu-PURKOT	148.0
Tanahu-RAIPUR	58.0
Tanahu-RAMJAKOT	38.0
Tanahu-RANIPOKHARI (RESING)	54.0
Tanahu-RISTI	42.0
Tanahu-RUPAKOT	75.0
Tanahu-SATISWARA	87.0
Tanahu-SHAMBU BHAGAWATIPUR	108.0
Tanahu-SHYMGHA	105.0
Tanahu-SUNDHARA (GHIRING)	87.0
Tanahu-TANAHUNSUR	60.0
Tanahu-THAPREK	54.0
Tanahu-VIRLUNG	120.0
Taplejung-AMBEGUDIN	45.0
Taplejung-ANKHOP	52.0
Taplejung-CHAKSIBOTE	25.0
Taplejung-CHANGE	64.0
Taplejung-DHUNGESAGHU	80.0
Taplejung-DOKHU	69.0
Taplejung-DUMMRISE	31.0
Taplejung-EKHABU	37.0
